,Issue Title
0,"'카카오 카풀' 타보니…요금은 '만족', 안전은 '글쎄'"
1,"LG유플러스, 드론으로 천연가스 배관망 실시간 감시"
2,"SK텔레콤, 0순위 여행 전시회 개최"
3,"'카카오 카풀' 타보니…요금은 '만족', 안전은 '글쎄'"
4,[연말결산] 리니지 돌풍 속 '검은사막-블소 레볼루션' 반격
5,"이통3사, 내년 5G대전 나서나…전투 준비 '이상 무'"
6,"에디홍 대표 ""베트남 창업, 스마트폰 6000만대가 접점"""
7,"[코인터뷰] 콘텐츠프로토콜 ""VOD시청자 어디서 영상 껐는지 알려드립니다"""
8,[이슈+] 1인미디어·고용량 전성시대…불 붙은 10기가 인터넷 경쟁
9,"""한국, 5G폰 도입률 초기 '세계 선두'…2020년 10% 예상"""
10,"이통3사, 5G 중심 조직개편 완료…'차세대 이통 대전' 예고"
11,대리게임업자 2년 이하 징역…'대리게임 처벌법' 국회 통과
12,"우버, 기업공개 서류 제출…""이르면 내년 1분기 상장"""
13,"1조 기업가치 노린 SNK, 결국 상장철회 결정"
14,"중국 ""온라인게임 9종 강제종료""…게임업계 파장 예고"
15,헬륨가스로 풍선처럼 부푼 외계행성 첫 관측
16,인류 최초 달 뒷면 착륙할 중국 '창어4호' 발사 성공
17,"확률생성 플랫폼 세븐체인, 12일 단독 밋업 연다"
18,"'블소 레볼루션', 구글 매출 2위…'리니지M' 추격"
19,"네이버 노조 ""단체협약 교섭 결렬…사측이 책임져야"""
